jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Polanka Wielka,,1305.0,1339.0,1609.0,1513.0,1672.04,1944.16,2065.52,2309.52,2529.22,2369.34,2639.18,2751.01,2766.91,2868.01,3230.03,3804.15,4556.38
Przeciszów,,1369.0,1335.0,1404.0,1726.0,1743.52,1718.33,2031.2,2011.15,1967.73,2665.98,2881.14,2856.92,2800.48,2617.03,3162.56,3467.94,4544.63
Zator,,1431.0,1516.0,1497.0,1637.0,1937.16,2080.96,2210.33,2508.81,2895.55,4585.47,3435.15,3550.68,3635.33,4042.93,4517.83,4501.03,5095.65
Powiat wadowicki,,1250.0,1271.0,1430.0,1707.0,1965.98,2119.22,2136.63,2217.45,2425.46,2568.1,2652.85,2661.41,2819.58,2949.29,3554.14,4036.54,4369.9
Andrychów,,1145.0,1224.0,1356.0,1565.0,1860.05,1983.3,2052.59,2163.28,2270.38,2362.84,2417.47,2536.47,2755.04,2920.03,3525.22,3841.15,4249.16
Brzeźnica,,1241.0,1277.0,1435.0,1644.0,1829.8,1963.22,2140.77,2334.16,2682.41,2454.92,2923.57,2893.53,3109.56,3044.75,3628.73,4082.74,4514.85
Kalwaria Zebrzydowska,,1310.0,1182.0,1319.0,1546.0,1767.89,1890.65,2115.94,2207.87,2324.57,2455.44,2570.29,2685.09,2776.23,2940.09,3756.25,3944.86,4343.12
Lanckorona,,1391.0,1490.0,1493.0,1757.0,1878.65,2472.86,2499.02,2326.81,3462.99,4905.8,2817.69,3307.1,2746.73,3009.51,3776.83,4290.76,4575.73
Mucharz,,1390.0,1442.0,1545.0,2234.0,3021.24,2796.05,2746.79,2593.41,3448.69,3221.51,3338.97,3412.49,3939.81,3799.67,3836.28,4039.52,4508.88
Spytkowice,,1268.0,1311.0,1460.0,1751.0,1844.08,1969.57,2212.44,2318.05,2458.35,2507.26,2702.16,2675.38,2908.55,2887.17,3351.79,3574.66,4036.25
Stryszów,,1395.0,1346.0,1462.0,3550.0,3533.51,4510.67,2179.26,2307.07,2381.67,2477.76,3105.31,2662.93,2786.67,3100.0,3475.55,3945.36,4216.78
Tomice,,1263.0,1396.0,1359.0,1477.0,1710.09,2013.63,2057.23,2176.81,2278.4,2288.65,2487.66,2553.98,2725.65,2954.3,3442.28,3828.15,4095.43
Wadowice,,1276.0,1264.0,1554.0,1620.0,1978.79,1982.12,2085.83,2162.03,2331.12,2413.05,2707.25,2454.48,2662.59,2871.06,3444.18,4360.19,4607.41
Wieprz,,1238.0,1293.0,1412.0,1671.0,1808.08,1992.36,2218.4,2224.31,2471.51,2969.76,2746.34,3011.8,3045.53,2888.53,3688.46,4288.97,4384.86
Powiat brzeski,,1312.0,1372.0,1586.0,1808.0,1918.32,2059.82,2246.87,2386.09,2819.9,2913.88,2880.6,2925.95,2900.53,3106.96,3617.84,3818.55,4292.48
Borzęcin,,1277.0,1343.0,1488.0,1561.0,1873.8,1975.93,2343.16,2606.79,3267.43,4040.81,4102.17,3846.98,3255.87,3549.79,3854.18,3874.01,4147.95
Brzesko,,1265.0,1328.0,1643.0,1899.0,1875.97,1880.69,2104.84,2299.99,2519.49,2400.19,2379.19,2563.91,2688.84,2829.94,3390.23,3540.97,3833.55
Czchów,,1548.0,1677.0,1931.0,1937.0,2042.08,2829.69,2459.63,2430.3,2712.66,2961.07,3465.02,3475.69,3422.39,3695.4,4378.99,4640.54,5180.41
Dębno,,1297.0,1331.0,1506.0,1672.0,1712.23,1905.54,2237.08,2178.49,2267.24,2245.41,2293.66,2622.73,2534.84,3129.76,3368.14,3514.32,3674.09
Gnojnik,,1378.0,1314.0,1455.0,1722.0,2024.15,2302.43,2410.18,2652.61,2704.81,3251.84,3063.5,3171.9,2839.48,3223.52,3657.77,4066.7,4803.11
