jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998,1999,2000,2019
Powiat ostrowski,13916.0,14504.0,14062.0,12752.0,11783.0,8884.0,6019.0,5057.0,8167.0,7442.0,6536.0,7042.0,6628.0,5161.0,3962.0,3140.0,2166.0,2010.0,8886.0,10872.0,11882.0,1854.0
Powiat ostrzeszowski,3977.0,3939.0,3709.0,3122.0,2622.0,1766.0,1446.0,1184.0,2215.0,2234.0,2482.0,2531.0,2561.0,2096.0,1628.0,1362.0,1095.0,1067.0,2630.0,3181.0,3340.0,983.0
Powiat pleszewski,6742.0,6790.0,6249.0,6180.0,5996.0,4789.0,3247.0,2374.0,3130.0,3225.0,3113.0,3231.0,3406.0,2349.0,1652.0,1332.0,911.0,895.0,4844.0,5714.0,6254.0,983.0
Powiat m.Kalisz,8161.0,8037.0,8044.0,7146.0,6174.0,5491.0,3436.0,2714.0,3976.0,4100.0,3743.0,4057.0,4011.0,3298.0,2598.0,2207.0,1498.0,1265.0,,,7277.0,1251.0
Powiat gnieźnieński,11470.0,13149.0,12885.0,12737.0,11075.0,8996.0,5936.0,4996.0,5999.0,6386.0,6802.0,7561.0,7762.0,6172.0,4705.0,3849.0,3102.0,2357.0,6284.0,7597.0,9445.0,1802.0
Powiat kolski,10324.0,10239.0,9800.0,9064.0,8708.0,7080.0,5690.0,4315.0,5436.0,4878.0,5200.0,5345.0,5553.0,4945.0,4286.0,3304.0,1989.0,1413.0,6829.0,8538.0,9059.0,1283.0
Powiat koniński,13171.0,13110.0,13085.0,12915.0,12194.0,10289.0,8440.0,5532.0,7214.0,7928.0,7780.0,8476.0,8667.0,7816.0,6942.0,6561.0,5038.0,3935.0,13716.0,17146.0,11600.0,3796.0
Powiat słupecki,6494.0,6336.0,6389.0,6045.0,5706.0,4790.0,3541.0,3066.0,3823.0,3868.0,3958.0,4122.0,4256.0,3404.0,2557.0,2160.0,1848.0,1753.0,4975.0,5551.0,5652.0,1536.0
Powiat turecki,8956.0,8107.0,8317.0,8265.0,7727.0,6142.0,2781.0,3138.0,4175.0,4203.0,4059.0,4349.0,3965.0,3315.0,2585.0,1933.0,1607.0,1637.0,6130.0,7647.0,8127.0,1381.0
Powiat wrzesiński,5463.0,6486.0,6794.0,6438.0,6113.0,5092.0,3306.0,3063.0,4301.0,3934.0,3999.0,4406.0,4756.0,3881.0,2908.0,2062.0,1145.0,1154.0,2486.0,3646.0,4394.0,1131.0
Powiat m.Konin,7845.0,7507.0,7584.0,7016.0,6533.0,5327.0,4112.0,3128.0,4354.0,5011.0,4724.0,4987.0,5057.0,4406.0,3942.0,3642.0,2665.0,2225.0,,,6932.0,1972.0
Powiat gostyński,6210.0,6866.0,6577.0,6129.0,5737.0,4952.0,3801.0,3361.0,3930.0,3930.0,3922.0,3941.0,3818.0,3356.0,2635.0,2347.0,1984.0,1816.0,3831.0,4910.0,5220.0,1651.0
Powiat grodziski,2557.0,2673.0,2668.0,2170.0,2006.0,1479.0,1115.0,935.0,1796.0,1748.0,1985.0,2377.0,2031.0,1745.0,1455.0,1168.0,1006.0,943.0,1037.0,1776.0,2223.0,763.0
Powiat kościański,4618.0,4823.0,4809.0,4779.0,4182.0,2826.0,1671.0,1444.0,2584.0,2495.0,2415.0,2705.0,2519.0,1884.0,1637.0,1397.0,1024.0,890.0,1146.0,2285.0,3200.0,808.0
Powiat leszczyński,2993.0,3086.0,3153.0,2982.0,2520.0,1908.0,1324.0,1125.0,1728.0,1890.0,1804.0,1921.0,1795.0,1367.0,1126.0,966.0,736.0,693.0,3067.0,4414.0,2338.0,621.0
Powiat międzychodzki,2723.0,3137.0,3304.0,3231.0,2527.0,2173.0,1303.0,764.0,1285.0,1177.0,1188.0,1534.0,1459.0,992.0,873.0,667.0,577.0,575.0,1425.0,1718.0,2336.0,552.0
Powiat nowotomyski,4438.0,4565.0,4378.0,4148.0,3654.0,2548.0,1297.0,1181.0,1969.0,1837.0,1891.0,2214.0,1979.0,1388.0,1219.0,959.0,714.0,688.0,1412.0,2439.0,3245.0,689.0
