,SLD,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,UW,Samoobrona,PiS,PSL,PO,Komitet Wyborczy Alternatywa Ruch Społeczny,Komitet Wyborczy Polskiej Wspólnoty Narodowej,LPR,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Partii Socjalistycznej,"Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego Śląska"""
Powiat szczycieński,8191,811,461,1652,939,2023,1981,91,,1648.0,,,186.0,
Powiat kętrzyński,10005,756,572,2476,1046,1206,2114,63,,1138.0,,,70.0,
Powiat ełcki,10452,907,381,2110,1761,1279,2249,55,,2707.0,,,90.0,
Powiat olsztyński,13131,1113,927,3130,2274,2133,2681,100,,1880.0,,,88.0,
Powiat giżycki,11514,781,1020,3409,1424,1948,3119,59,,1573.0,,,107.0,
Powiat mrągowski,6483,704,557,1319,1092,1151,1347,47,,1269.0,,,29.0,
Olsztyn,30370,2422,3354,3476,6413,2384,8473,154,,5571.0,,,126.0,
Powiat olecko-gołdapski,6469,526,336,1685,1080,1131,2551,50,,1039.0,,,68.0,
Powiat piski,6597,598,199,1795,1522,1579,1498,43,,1689.0,,,46.0,
Powiat nidzicki,4885,477,153,994,464,1053,637,36,,1100.0,,,26.0,
Powiat wałbrzyski,10659,676,376,2092,770,1455,2078,94,,1040.0,,,,
Wałbrzych,26907,1649,1330,3535,2131,1045,4306,281,,2239.0,,,,
Powiat dzierżoniowski,20984,1492,864,3380,1494,1876,4319,171,,2511.0,,,,
Powiat kłodzki,28009,2417,2362,6875,3186,4365,5939,403,,4171.0,,,,
Powiat ząbkowicki,11894,854,733,3528,884,1830,2109,106,,1527.0,,,,
Powiat świdnicki,25785,2908,2040,6313,2538,2350,8930,239,,3784.0,,,,
Powiat legnicki,7776,427,341,2413,668,2044,1218,98,,1039.0,,,,
Powiat kamiennogórski,8647,744,572,1283,948,523,1507,59,,770.0,,,,
Legnica,19896,1713,1086,2451,2969,1360,3671,97,,2756.0,,,,
Powiat lubiński,19204,1449,1158,3094,2313,1510,5504,93,,1931.0,,,,
Powiat zgorzelecki,16760,1317,660,2629,2196,1576,3641,193,,1282.0,,,,
Powiat jaworski,8061,849,254,2262,1174,1807,1467,45,,1054.0,,,,
Powiat głogowski,16594,1523,1543,2990,1863,1325,2810,76,,2033.0,,,,
Powiat bolesławiecki,13378,895,1211,2820,2446,2249,2404,110,,1884.0,,,,
Powiat złotoryjski,7481,427,244,1704,721,1554,1336,73,,898.0,,,,
Powiat jeleniogórski,11054,930,705,1638,1595,1149,2269,82,,956.0,,,,
Powiat lwówecki,8370,673,362,1418,1056,922,1154,64,,734.0,,,,
Jelenia Góra,17940,1065,1601,1928,3157,1174,3938,104,,1677.0,,,,
Powiat lubański,11461,641,286,1924,1086,791,1645,145,,1119.0,,,,
Powiat polkowicki,9679,721,466,2366,879,1087,1903,88,,1202.0,,,,
Powiat średzki,6240,508,309,2129,659,1295,1466,60,,1096.0,,,,
Powiat oleśnicki,14489,1371,846,4161,1972,2004,3841,140,,2322.0,,,,
Powiat górowski,4817,458,239,2224,463,1033,966,65,,455.0,,,,
Powiat wrocławski,9264,1311,807,4887,1996,3323,3775,165,,2543.0,,,,
Powiat wołowski,7280,666,347,2191,684,1054,2725,77,,893.0,,,,
Powiat oławski,9038,1768,1013,2999,1622,1292,3364,91,,2010.0,,,,
Powiat strzeliński,6287,589,321,2680,536,1414,1577,57,,1327.0,,,,
Powiat trzebnicki,8301,1157,683,3529,1402,2071,2998,112,,1402.0,,,,
Powiat milicki,5607,557,284,1888,366,1486,1595,46,,683.0,,,,
Wrocław,92651,13446,16104,13135,33274,4869,52351,1051,,20182.0,,,,
Powiat buski,9664,1026,259,3935,930,7242,1968,147,,1047.0,,,60.0,
Powiat jędrzejowski,12764,802,229,5176,1067,6082,1553,320,,1417.0,,,207.0,
Powiat skarżyski,14303,1783,637,2185,2240,1449,3410,346,,2096.0,,,53.0,
Powiat staszowski,9190,698,747,3772,1317,4332,1066,198,,1042.0,,,78.0,
Powiat kielecki,19656,1609,618,8050,3235,9981,2819,551,,4856.0,,,187.0,
Powiat pińczowski,6056,295,275,2828,336,2997,870,126,,522.0,,,84.0,
Powiat kazimierski,3004,248,84,2746,311,4666,503,52,,396.0,,,30.0,
Kielce,42307,2386,2170,5055,10548,3470,9291,1309,,6678.0,,,319.0,
Powiat sandomierski,11903,1426,496,4048,1375,5931,1329,169,,1654.0,,,70.0,
Powiat włoszczowski,7360,1103,135,2615,763,2304,830,121,,925.0,,,44.0,
Powiat konecki,13056,1220,492,3165,1380,2294,1991,225,,2107.0,,,266.0,
Powiat opatowski,7042,543,195,3550,642,5062,536,112,,779.0,,,70.0,
Powiat ostrowiecki,23400,1060,564,4792,2775,3493,2556,209,,1544.0,,,101.0,
Powiat starachowicki,14880,1686,883,3367,2147,5736,2187,236,,1877.0,,,423.0,
Powiat krakowski,20593,3561,1870,9127,8543,9451,12696,211,,8119.0,,,,
Kraków,94514,13184,22201,11579,57906,6165,60526,577,,29947.0,,,,
Powiat olkuski,24444,1896,971,5167,2433,2896,3907,174,,3093.0,,,,
Powiat miechowski,6491,416,278,3991,661,3656,1604,113,,760.0,,,,
Powiat oświęcimski,23866,4319,1816,4119,4715,5548,7649,301,,4480.0,,,,
Powiat wadowicki,15949,3242,1499,5013,6159,5969,7173,241,,7277.0,,,,
Powiat chrzanowski,24503,2657,1164,3292,3726,1835,6555,458,,3321.0,,,,
Powiat myślenicki,6722,3788,845,3295,3807,3723,5999,153,,6051.0,,,,
Powiat suski,5470,3717,842,2479,3028,3120,3206,91,,3933.0,,,,
Nowy Sącz,12689,3954,645,1342,4634,1132,6521,114,,2732.0,,,,
Powiat tatrzański,3713,4448,957,1423,3335,2049,4074,147,,2389.0,,,,
Powiat gorlicki,12173,2875,383,3727,2492,4685,5635,195,,3286.0,,,,
